"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","204","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode endpoint should return list when some params empty",""
"passed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","204","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode options returns status 204",""
"passed","Mon Nov 27 19:31:46 GMT 2023","Mon Nov 27 19:31:46 GMT 2023","54","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character should return list",""
"passed","Mon Nov 27 19:31:51 GMT 2023","Mon Nov 27 19:31:51 GMT 2023","206","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode endpoint should return list when some params empty",""
"passed","Mon Nov 27 19:31:46 GMT 2023","Mon Nov 27 19:31:46 GMT 2023","365","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character endpoint should return list when some params empty",""
"passed","Mon Nov 27 19:31:43 GMT 2023","Mon Nov 27 19:31:43 GMT 2023","466","","Test Negative Character Endpoint","","Test Negative Character Endpoint","","Character should return error for an invalid param",""
"passed","Mon Nov 27 19:31:47 GMT 2023","Mon Nov 27 19:31:47 GMT 2023","412","","Test Negative Episode Endpoint","","Test Negative Episode Endpoint","","Episode endpoint returns not found error for episode out of range",""
"passed","Mon Nov 27 19:31:51 GMT 2023","Mon Nov 27 19:31:51 GMT 2023","259","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode options returns status 204",""
"passed","Mon Nov 27 19:31:51 GMT 2023","Mon Nov 27 19:31:51 GMT 2023","366","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode should return list",""
"passed","Mon Nov 27 19:31:46 GMT 2023","Mon Nov 27 19:31:46 GMT 2023","364","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character should return specific list for multiple param",""
"passed","Mon Nov 27 19:31:51 GMT 2023","Mon Nov 27 19:31:51 GMT 2023","845","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode list can be filtered",""
"passed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","120","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode should return list",""
"passed","Mon Nov 27 19:31:51 GMT 2023","Mon Nov 27 19:31:51 GMT 2023","240","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode should return specific list for multiple param",""
"failed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","412","","Test Negative Location Endpoint","","Test Negative Location Endpoint","","Location endpoint returns not found error for location out of range",""
"passed","Mon Nov 27 19:31:46 GMT 2023","Mon Nov 27 19:31:46 GMT 2023","282","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character should return response with valid schema",""
"passed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","206","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode should return response with valid schema",""
"passed","Mon Nov 27 19:31:47 GMT 2023","Mon Nov 27 19:31:47 GMT 2023","439","","Test Negative Episode Endpoint","","Test Negative Episode Endpoint","","Episode should return error for an invalid param",""
"passed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","209","","Test Negative Location Endpoint","","Test Negative Location Endpoint","","Location should return error for an invalid param",""
"passed","Mon Nov 27 19:31:43 GMT 2023","Mon Nov 27 19:31:43 GMT 2023","954","","Test Negative Character Endpoint","","Test Negative Character Endpoint","","Character endpoint returns not found error for character out of range",""
"passed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","416","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode list can be filtered",""
"passed","Mon Nov 27 19:31:49 GMT 2023","Mon Nov 27 19:31:49 GMT 2023","424","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode should return specific list for multiple param",""
"passed","Mon Nov 27 19:31:46 GMT 2023","Mon Nov 27 19:31:47 GMT 2023","1900","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character list can be filtered",""
"passed","Mon Nov 27 19:31:46 GMT 2023","Mon Nov 27 19:31:46 GMT 2023","479","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character options returns status 204",""
"passed","Mon Nov 27 19:31:51 GMT 2023","Mon Nov 27 19:31:51 GMT 2023","205","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode should return response with valid schema",""
