"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Character should return list","","Thu Mar 26 13:59:32 UTC 2026","passed","Thu Mar 26 13:59:32 UTC 2026","","Test Positive Character Endpoint","Test Positive Character Endpoint",""
"","41","Episode should return specific list for multiple param","","Thu Mar 26 13:59:35 UTC 2026","failed","Thu Mar 26 13:59:35 UTC 2026","","Test Positive Location Endpoint","Test Positive Location Endpoint",""
"","201","Episode endpoint should return list when some params empty","","Thu Mar 26 13:59:34 UTC 2026","passed","Thu Mar 26 13:59:34 UTC 2026","","Test Positive Episode Endpoint","Test Positive Episode Endpoint",""
"","206","Episode should return specific list for multiple param","","Thu Mar 26 13:59:34 UTC 2026","passed","Thu Mar 26 13:59:34 UTC 2026","","Test Positive Episode Endpoint","Test Positive Episode Endpoint",""
"","179","Episode should return error for an invalid param","","Thu Mar 26 13:59:33 UTC 2026","passed","Thu Mar 26 13:59:33 UTC 2026","","Test Negative Episode Endpoint","Test Negative Episode Endpoint",""
"","405","Episode list can be filtered","","Thu Mar 26 13:59:34 UTC 2026","passed","Thu Mar 26 13:59:34 UTC 2026","","Test Positive Episode Endpoint","Test Positive Episode Endpoint",""
"","177","Location should return error for an invalid param","","Thu Mar 26 13:59:34 UTC 2026","passed","Thu Mar 26 13:59:34 UTC 2026","","Test Negative Location Endpoint","Test Negative Location Endpoint",""
"","235","Character endpoint should return list when some params empty","","Thu Mar 26 13:59:32 UTC 2026","passed","Thu Mar 26 13:59:32 UTC 2026","","Test Positive Character Endpoint","Test Positive Character Endpoint",""
"","58","Episode should return list","","Thu Mar 26 13:59:34 UTC 2026","passed","Thu Mar 26 13:59:34 UTC 2026","","Test Positive Episode Endpoint","Test Positive Episode Endpoint",""
"","623","Episode endpoint returns not found error for episode out of range","","Thu Mar 26 13:59:33 UTC 2026","passed","Thu Mar 26 13:59:33 UTC 2026","","Test Negative Episode Endpoint","Test Negative Episode Endpoint",""
"","159","Episode options returns status 204","","Thu Mar 26 13:59:34 UTC 2026","passed","Thu Mar 26 13:59:34 UTC 2026","","Test Positive Episode Endpoint","Test Positive Episode Endpoint",""
"","372","Character options returns status 204","","Thu Mar 26 13:59:32 UTC 2026","passed","Thu Mar 26 13:59:32 UTC 2026","","Test Positive Character Endpoint","Test Positive Character Endpoint",""
"","168","Episode options returns status 204","","Thu Mar 26 13:59:35 UTC 2026","passed","Thu Mar 26 13:59:35 UTC 2026","","Test Positive Location Endpoint","Test Positive Location Endpoint",""
"","60","Episode should return response with valid schema","","Thu Mar 26 13:59:34 UTC 2026","passed","Thu Mar 26 13:59:34 UTC 2026","","Test Positive Episode Endpoint","Test Positive Episode Endpoint",""
"","61","Character should return response with valid schema","","Thu Mar 26 13:59:32 UTC 2026","passed","Thu Mar 26 13:59:32 UTC 2026","","Test Positive Character Endpoint","Test Positive Character Endpoint",""
"","403","Location endpoint returns not found error for location out of range","","Thu Mar 26 13:59:34 UTC 2026","failed","Thu Mar 26 13:59:34 UTC 2026","","Test Negative Location Endpoint","Test Negative Location Endpoint",""
"","883","Character list can be filtered","","Thu Mar 26 13:59:32 UTC 2026","passed","Thu Mar 26 13:59:32 UTC 2026","","Test Positive Character Endpoint","Test Positive Character Endpoint",""
"","473","Character endpoint returns not found error for character out of range","","Thu Mar 26 13:59:30 UTC 2026","passed","Thu Mar 26 13:59:30 UTC 2026","","Test Negative Character Endpoint","Test Negative Character Endpoint",""
"","232","Character should return specific list for multiple param","","Thu Mar 26 13:59:32 UTC 2026","passed","Thu Mar 26 13:59:32 UTC 2026","","Test Positive Character Endpoint","Test Positive Character Endpoint",""
"","476","Episode list can be filtered","","Thu Mar 26 13:59:35 UTC 2026","passed","Thu Mar 26 13:59:35 UTC 2026","","Test Positive Location Endpoint","Test Positive Location Endpoint",""
"","209","Episode endpoint should return list when some params empty","","Thu Mar 26 13:59:35 UTC 2026","passed","Thu Mar 26 13:59:35 UTC 2026","","Test Positive Location Endpoint","Test Positive Location Endpoint",""
"","168","Character should return error for an invalid param","","Thu Mar 26 13:59:30 UTC 2026","passed","Thu Mar 26 13:59:30 UTC 2026","","Test Negative Character Endpoint","Test Negative Character Endpoint",""
"","41","Episode should return response with valid schema","","Thu Mar 26 13:59:35 UTC 2026","failed","Thu Mar 26 13:59:35 UTC 2026","","Test Positive Location Endpoint","Test Positive Location Endpoint",""
"","43","Episode should return list","","Thu Mar 26 13:59:35 UTC 2026","failed","Thu Mar 26 13:59:35 UTC 2026","","Test Positive Location Endpoint","Test Positive Location Endpoint",""
